;No students have accessed this list.  A list of names will appear here when at least one student accesses it.;Студенты еще не пользовались данным списком. Список студентов появится после использования.;
;Add Folder;Добавить папку;
;Create Folder;Создать папку;
;Add Text or Instructions;Добавить текст/инструкции;
;Text;Текст;
;Folder;Папка;
;e.g., Read Chapter 5 in Textbook;например, прочитайте главу 5 в учебнике;
;Main list of Readings;Основной список чтения;
;Add Web Resource;Добавить веб ресурсы;
;URL;Ссылка;
;e.g., http://library.edu/;например, http://library.edu/;
;Link label;Лого ссылки;
; Back to main list;Вернуться к основному списку;
;This list has folders:;Папки в данном списке:;
;Sort Order:;Сортировать по:;
;Removing...;Удаление…;
;Move to folder;Переместить в папку;
;No Folder;Папка не существует;
;Delete;Удалить ;
;There was a problem loading details for this reading.  Your library may no longer subscribe to this item, or it may be a duplicate of another reading already in this list.  Please contact your library for further assistance if you have any difficulty accessing this item.;Ошибка, информация о данном списке не может быть отображена. Возможно, Ваша библиотека отменила подписку или список дублируется. Пожалуйста, обратитесь за помощью к работнику библиотеки.;
;By : ;по:;
;Published:;Опубликовано:;
;Start Page: ;Первая страница:;
;Page Count: ;Количество страниц:;
;Language:;Язык:;
;Full Text;Полный текст;
;Online Access;Доступ онлайн;
;Students that have clicked this reading: ;Студенты, которые прочитали:;
;student(s) have clicked this reading.;студент(ы) пользовались данным списком.;
;No students have read this item.  A list of names will appear here when at least one student clicks this item.;Студенты еще не пользовались данным списком. Список студентов появится после использования.;
;Characters remaining;Оставшееся кол-во символов;
;Removing... please wait.;Удаление…пожалуйста подождите;
;Update Notes and Sort Order;Обновить заметки и порядок;
;Currently, there are no readings.;В данный момент список чтения пуст.;
;Select a folder above to see readings.;Откройте папку выше, чтобы просмотреть список. ;
;Currently, there are no readings on this list.;В данный момент список чтения пуст.;
;<< Back to Results;<< Вернуться к результатам поиска;
;Retrieve response XML;Ответ XML ;
;Uh oh!  It looks like the article may no longer be available through your library.  Please let your library and teacher know about this error message: ;Ой! Кажется, данная статья больше не доступна в Вашей библиотеке. Пожалуйста, сообщите Вашему преподавателю либо сотруднику библиотеки о данной неполадке. ;
;This record from;Запись от ;
;cannot be displayed to guests.;недоступна гостям.;
;for full access.;для полного доступа.;
;See it in EDS;Посмотреть в EDS ;
; Online Access;Доступ онлайн;
;Refine Search;Уточнить поиск;
;Remove Facets;Отменить ограничения;
;Limiter: ;Ограничения:;
;Limit your results;Ограничить результаты;
;Expand your results;Расширить результаты поиска;
;Search response XML;Ответ XML ;
;Results;Результаты;
;Showing;Отображение;
;of;-;
;for;для ;
;Sort;Сортировать;
;Page options;Настройки страницы;
;Detailed;Подробнее;
;Brief;Краткая информация;
;Title Only;Только названия;
;Results per page;Результатов на странице;
;Research Starter;Помощь в начале исследований;
;for full access;для полного доступа;
;Published: ;Опубликовано:;
;No results were found.;Нет результатов:;
;Result #;Результат №;
;Title is not available;публикация недоступна;
;By :;от:;
;Start Page:;Первая страница:;
;Page Count:;Количество страниц:;
;Abstract:;Краткое содержание:;
;Subjects:;Предметы:;
;Key:;Ключ:;
;Secret:;Секретный пароль:;
;Administration;Администрация;
;Total Lists;Все списки;
;Total People Using Tool;Инструмент для подсчета кол-ва пользователей;
;Users;Пользователи;
;Total Courses Using Tool;Инструмент для подсчета кол-ва пользователей курса;
;Courses;Курсы;
;Search;Поиск;
;Return to Course;Вернуться к курсу;
;See Current Reading List;Посмотреть актуальный список чтения;
;Update;Обновить;
;Add;Добавить;
; notes;заметки;
;Save notes;Сохранить заметки;
;edit notes;Исправить заметки;
;items;Предметы:;
;currently selected;Выбраны в данный момент;
;Result;Результат;
;Folder name;Название папки;
;Back to the main list;Вернуться к основному списку;
;Save Changes;Сохранить изменения;
;Contact;Контакты;
;for assistance with this tool.;для помощи с данным инструментом.;
;Download Export File;Скачать файл ;
;Import from Export File;Импортировать файл;
;Download Student Data;Скачать данные о студентах ;
;Be careful editing these settings, as they will override the settings originally set up in your LMS's LTI configuration screen.  Please launch at least one reading list from your LMS to populate these fields, or contact eds@ebscohost.com for assistance with these settings.;Не меняйте данные параметры без необходимости, так как это изменит настройки системы Вашей библиотеки. Запустите хотя бы один список чтения с помощью Вашей системы или свяжитесь с поддержкой  eds@ebscohost.com;
;If you change the ;Если вы измените ;
;user id;Логин;
;password;Пароль;
;API profile ID;профиль API;
;you will need to log out and log back in to see accurate statistics and lists.;зайдите снова в систему, чтобы статистика была наиболее точной. ;
;Select;Выбрать;
;a User ID & Password combo from EBSCOadmin's Authentication section.;связку логина и пароля для авторизации в EBSCOAdmin. ;
;The username/password combo must be associated with the group containing the profile specified below.;Логин и пароль должны относиться к группе ниже.;
;Total Readings;Публикаций всего;
;This the the EDS API profile you want to use in Curriculum Builder. It needs to be in the group that the User ID and Password you entered above has access to.;Данный профиль EDS API выбран для использования в Curriculum Builder. Данный профиль должен быть присвоен аккаунту, выбранному выше. ;
;EDS API Profile ID;ID профиля EDS API;
;LMS Roles that can edit lists (comma-separated);Пользователи, которые могут редактировать списки;
;By default, only Instructors and Teaching Assistants can edit lists. However, you can add roles here to enable other types of users to edit lists.;по умолчанию, редактировать списки могут только преподаватели и инструкторы. Вы можете добавить и других пользователей. ;
;Default:;По умолчанию: ;
;Proxy Prefix for CustomLinks;Proxy Prefix для кастомных ссылок;
;If filled in, this proxy will be applied to all CustomLinks that appear in Curriculum Builder.;Если заполнено, прокси будут активны для всех ссылок Curriculum Builder.;
;Examples;Примеры;
;Proxy should encode target URL;Прокси должны включать в себя исходные ссылки;
;If your proxy prefix ends with;Если префикс прокси заканчивается на;
;this probably needs to be set to;то возможно, стоит установить, как;
;otherwise;иначе;
;is probably correct.;возможно правильно.;
;If your LMS accesses Curriculum Builder via HTTPS, your logo should also be available via HTTPS.;Если Ваша система использует HТTPS для доступа к Curriculum Builder, Ваше лого также будет доступно через HTTPS. ;
;This text will appear underneath the title of the list in the header. URLs will automatically be hyperlinked.;Данный текст будет отображаться под названием списка.  Гиперссылки будут доступны автоматически. ;
;This is the label for the link that will appear on the left side of detailed records that directs the user to the EBSCO Discovery Service record for the reading. If left blank, no link to EDS will appear.;"Данная ссылка в виде значка будет отображаться в левой стороне вкладки ""подробная информация"", и будет вести к EBSCO Discovery Service. Если оставить данное поле пустым, ссылка не появится.";
;Enter the URL of a CSS file. Styles in this file will be applied to Curriculum Builder screens. Must be at an HTTPS address if your LMS is HTTPS only.;Введите ссылку на CSS файл. Стиль будет применен в дизайне Curriculum Builder. Если Ваша система использует HTTPS, адрес должен использовать то же.  ;
;Optional.;Необязательно. ;
;will collect students names, email addresses, and IDs. These data will be used to inform course instructors when a student clicks on a reading. It will also populate these fields in the reports provided to the library. To disable email collection only, your LMS instructor can elect to NOT share this information with the tool provider.;собирает имена студентов, адреса эл. почты, ID. Данная информация будет предоставлена только преподавателям, после того как студенты прочитают работы. Также, данная информация будет использована для внутренних отчетов библиотеки. Администратор может изменять данные настройки. ;
;will not provide faculty with names of students who clicked on readings. However, libraries will be provided with a report showing when and which readings were accessed with only the LMS userID.;Данные о студентах предоставлены не будут. Для отчетов использования библиотеки будут использованы только названия работ и ID пользователей, без имен. ;
;Anonymized;Анонимно;
;None;Ничего ;
;will collect no student activity. No reporting will be available.;Данные об активности собраны не будут. Статистика не будет доступна.;
;Link to Help Pages;Ссылка на страницу поддержки;
;for this option means instructors will be prompted at the launch of a new list to either create a new list from scratch, or select from a list of similarly named lists to use to prepopulate the new list. If;инструкторы и администратор смогут создать новые списки или выбрать готовые/похожие.;
;is selected, all new lists will be blank.;выбрав, все списки будут пустыми.;
;Hide;Спрятать;
;and;и;
;Available in Library Collection;Доступны в коллекции библиотеки;
;Limiters;Фильтры;
;Hiding these limiters will prevent faculty from unchecking these, making it impossible to add items outside of your collections to the reading list.;"Спрятав данную опцию, пользователи не смогут удалить фильтр ""доступно в коллекции"" и добавлять сторонние публикации.  ";
;This link is provided by the LMS. If the LMS is configured correctly, it will redirect the user back to the course's site.;Ссылка предоставлена системой вашей библиотеки. Если система работает исправно, ссылка приведет пользователей обратно к курсу.;
;Show First Full Text Link Only;Отображать только первую ссылку на полный текст ;
;Language;Язык;
;Spanish;Испанский;
;German;Немецкий;
;Italian;Итальянский;
;Portuguese;Португальский;
;French;Французский;
;Simplified Chinese;Упрощенный китайский;
;traditional Chinese;Традиционный китайский;
;Japanese;Японский;
;Polish;Польский;
;Swedish;Шведский;
;Thai;Тайский;
;Turkish;Турецкий;
;Required;Обязательно;
;e.g., Instructor;Например, инструктор;
;"Proxy prefix here; if using WAM, you can use {targetURLdomain} to specify the domain of your WAM proxy - the remainder will be placed at the end";Введите префикс прокси. Если вы используете WAM, введите домен {targetURLdomain}, чтобы уточнить WAM прокси;
;Email for contact person for tool;Эл. почта поддержки инструмента ;
;Branding text at top of screen;текст организации на верху;
;e.g., See Record in EDS;например, посмотреть в EDS ;
;e.g., Search for Library Resources;например, искать среди ресурсов библиотеки;
;Optional.  URL for CSS Stylesheet;Необязательно. Ссылка на CSS.;
;URL for LibGuide or other help pages;Ссылки на инструкции и вспомогательные страницы;
;e.g., a copyright notice;например, политика конфиденциальности;
;Label for Link to EDS;Ссылка на EDS в виде значка;
;Label for Search Box;Значок поиска;
;Collect Student Data;Данные студентов;
;URL to Library Home Page;Ссылка на домашнюю страницу библиотеки;
;Search Library Resources;Поиск среди ресурсов библиотеки;
;Update Settings;Обновить настройки;
;Expander: ;Расширение поиска:;
;Edit;Изменить;
;Relevance;Релевантность;
;Source Type;Тип источника;
;Subject;Предмет;
;Publication;Публикация ;
;Geography;География;
;Content Provider;Поставщик информации;
;Academic Journal;Научный журнал;
;Biographie;Биография;
;Book;Книга;
;Conference Material;Материалы конференции;
;Magazine;Журнал;
;New;Новинка;
;Primary Source Document;Документ из первоисточника;
;Report;Отчет;
;Review;Обзор;
;Trade Publication;Публикация рынка;
;Date Newest;Самая новая работа;
;Date Oldest;Самая старая работа;
;Authors;Авторы;
;Document Type;Тип документа;
;Subject Terms;Предметные термины;
;Author-Supplied Keywords;Ключевые слова, предложенные авторами;
;Abstract;Краткое содержание;
;Author Affiliations;Авторские права;
;Accession Number;Идентификационный номер;
;Publisher;Издательство;
;Source;Источник;
;Geographic Terms;Географические термины;
;Academic Journals;Научные журналы;
;Books;Книги;
;Conference Materials;Материалы конференций;
;Magazines;Журналы;
;Biographies;Биографии;
;News;Новости;
;Primary Source Documents;Документы из первоисточников;
;Reports;Отчеты;
;Reviews;Обзоры;
;Trade Publications;Публикации рынка;
;Apply equivalent subjects;Использовать похожие предметы;
;Apply related words;Использовать связаванные термины;
;Also search within the full text of the articles;Также, искать среди полнотекстовых статей;
;References Available;Доступные отзывы;
;Scholarly (Peer Reviewed) Journals;Журналы, одобренные экспертами;
;Library Home;Домашняя страница библиотеки;
;Periodical;Периодика;
;Selecting;Выбор;
;Publication Year;Год издания;
;You have no other reading lists.;Другие списки отсутствуют;
;No statistics to report yet.;Статистика еще недоступна;
;Select one:;Выберите:;
;Hebrew;Иврит;
;University;Университет;Facet
;Collection;Коллекция;Facet
;Generate list;Создать список;
